antecedents,consequents,antecedent support,consequent support,support,confidence,lift,leverage,conviction
"frozenset({'Comedy, Drama, Romance'})","frozenset({'Biography, Drama'})",0.08053691275167785,0.03355704697986577,0.010067114093959731,0.125,3.725,0.007364533129138326,1.1045062320230106
"frozenset({'Drama, Sport'})","frozenset({'Action, Adventure, Sci-Fi'})",0.013422818791946308,0.20469798657718122,0.010067114093959731,0.75,3.663934426229508,0.00731949011305797,3.1812080536912752
"frozenset({'Action, Adventure, Sci-Fi'})","frozenset({'Drama, Sport'})",0.20469798657718122,0.013422818791946308,0.010067114093959731,0.04918032786885245,3.6639344262295075,0.00731949011305797,1.0376070354084703
"frozenset({'Biography, Drama, History'})",frozenset({'Comedy'}),0.03355704697986577,0.08389261744966443,0.010067114093959731,0.3,3.5759999999999996,0.007251925588937435,1.308724832214765
frozenset({'Comedy'}),"frozenset({'Biography, Drama, History'})",0.08389261744966443,0.03355704697986577,0.010067114093959731,0.11999999999999998,3.5759999999999996,0.007251925588937435,1.0982306284319707
"frozenset({'Comedy, Drama, Romance'})","frozenset({'Horror, Mystery, Thriller'})",0.08053691275167785,0.03691275167785235,0.010067114093959731,0.125,3.3863636363636362,0.007094275032656186,1.1006711409395973
"frozenset({'Horror, Mystery, Thriller'})","frozenset({'Comedy, Drama, Romance'})",0.03691275167785235,0.08053691275167785,0.010067114093959731,0.2727272727272727,3.3863636363636362,0.007094275032656186,1.2642617449664428
"frozenset({'Action, Crime, Thriller'})","frozenset({'Comedy, Drama'})",0.05704697986577181,0.053691275167785234,0.010067114093959731,0.1764705882352941,3.286764705882353,0.007004189000495473,1.1490891658676894
"frozenset({'Comedy, Drama'})","frozenset({'Action, Crime, Thriller'})",0.053691275167785234,0.05704697986577181,0.010067114093959731,0.1875,3.286764705882353,0.007004189000495473,1.160557563242127
"frozenset({'Action, Crime, Thriller'})","frozenset({'Drama, Romance'})",0.05704697986577181,0.053691275167785234,0.010067114093959731,0.1764705882352941,3.286764705882353,0.007004189000495473,1.1490891658676894
"frozenset({'Drama, Romance'})","frozenset({'Action, Crime, Thriller'})",0.053691275167785234,0.05704697986577181,0.010067114093959731,0.1875,3.286764705882353,0.007004189000495473,1.160557563242127
"frozenset({'Comedy, Drama, Romance'})","frozenset({'Drama, Romance'})",0.08053691275167785,0.053691275167785234,0.013422818791946308,0.16666666666666669,3.104166666666667,0.009098689248232062,1.1355704697986577
"frozenset({'Drama, Romance'})","frozenset({'Comedy, Drama, Romance'})",0.053691275167785234,0.08053691275167785,0.013422818791946308,0.25,3.104166666666667,0.009098689248232062,1.225950782997763
"frozenset({'Comedy, Romance'})","frozenset({'Action, Crime, Thriller'})",0.05704697986577181,0.05704697986577181,0.010067114093959731,0.1764705882352941,3.093425605536332,0.0068127561821539565,1.145014381591563
"frozenset({'Action, Crime, Thriller'})","frozenset({'Comedy, Romance'})",0.05704697986577181,0.05704697986577181,0.010067114093959731,0.1764705882352941,3.093425605536332,0.0068127561821539565,1.145014381591563
"frozenset({'Comedy, Drama'})",frozenset({'Comedy'}),0.053691275167785234,0.08389261744966443,0.013422818791946308,0.25,2.98,0.008918517183910634,1.221476510067114
frozenset({'Comedy'}),"frozenset({'Comedy, Drama'})",0.08389261744966443,0.053691275167785234,0.013422818791946308,0.15999999999999998,2.9799999999999995,0.008918517183910634,1.1265580057526365
"frozenset({'Action, Crime, Drama'})","frozenset({'Action, Adventure, Drama'})",0.050335570469798654,0.07046979865771812,0.010067114093959731,0.2,2.8380952380952382,0.006519976577631638,1.1619127516778522
"frozenset({'Action, Adventure, Drama'})","frozenset({'Action, Crime, Drama'})",0.07046979865771812,0.050335570469798654,0.010067114093959731,0.14285714285714285,2.8380952380952382,0.006519976577631638,1.1079418344519014
"frozenset({'Action, Adventure, Comedy'})",frozenset({'Comedy'}),0.07046979865771812,0.08389261744966443,0.016778523489932886,0.2380952380952381,2.8380952380952382,0.010866627629386064,1.2023909395973154
frozenset({'Comedy'}),"frozenset({'Action, Adventure, Comedy'})",0.08389261744966443,0.07046979865771812,0.016778523489932886,0.19999999999999998,2.8380952380952382,0.010866627629386064,1.1619127516778522
"frozenset({'Action, Adventure, Comedy'})","frozenset({'Action, Crime, Thriller'})",0.07046979865771812,0.05704697986577181,0.010067114093959731,0.14285714285714285,2.504201680672269,0.006047024908787892,1.1001118568232662
"frozenset({'Action, Crime, Thriller'})","frozenset({'Action, Adventure, Comedy'})",0.05704697986577181,0.07046979865771812,0.010067114093959731,0.1764705882352941,2.504201680672269,0.006047024908787892,1.1287152444870567
frozenset({'Comedy'}),"frozenset({'Drama, Romance'})",0.08389261744966443,0.053691275167785234,0.010067114093959731,0.11999999999999998,2.235,0.0055628124859240565,1.0753508236729712
"frozenset({'Drama, Romance'})",frozenset({'Comedy'}),0.053691275167785234,0.08389261744966443,0.010067114093959731,0.1875,2.235,0.0055628124859240565,1.1275167785234899
"frozenset({'Crime, Drama, Thriller'})","frozenset({'Comedy, Drama, Romance'})",0.05704697986577181,0.08053691275167785,0.010067114093959731,0.1764705882352941,2.191176470588235,0.0054727264537633435,1.1164908916586769
"frozenset({'Comedy, Drama, Romance'})","frozenset({'Crime, Drama, Thriller'})",0.08053691275167785,0.05704697986577181,0.010067114093959731,0.125,2.191176470588235,0.0054727264537633435,1.077660594439118
"frozenset({'Adventure, Family, Fantasy'})","frozenset({'Animation, Adventure, Comedy'})",0.040268456375838924,0.1174496644295302,0.010067114093959731,0.25,2.1285714285714286,0.005337597405522273,1.1767337807606264
"frozenset({'Animation, Adventure, Comedy'})","frozenset({'Adventure, Family, Fantasy'})",0.1174496644295302,0.040268456375838924,0.010067114093959731,0.08571428571428572,2.1285714285714286,0.005337597405522273,1.0497063758389262
"frozenset({'Action, Adventure, Sci-Fi'})","frozenset({'Adventure, Family, Fantasy'})",0.20469798657718122,0.040268456375838924,0.016778523489932886,0.08196721311475409,2.0355191256830603,0.008535651547227602,1.0454218600191756
