movie_name,year_released,runtime_in_min,genre,revenues,imdb_rating,user_votes,director,actor
Star Wars: Episode VII - The Force Awakens,2015,138,"Action, Adventure, Sci-Fi",936662225.0,7.9,840357,Makoto Shinkai,"Ryûnosuke Kamiki, Mone Kamishiraishi, Ryô Narita, Aoi Yûki"
The Martian,2015,144,"Adventure, Drama, Sci-Fi",228433663.0,8.0,733681,"Greg Tiernan, Conrad Vernon","Seth Rogen, Kristen Wiig, Jonah Hill, Alistair Abell"
Avengers: Age of Ultron,2015,141,"Action, Adventure, Sci-Fi",459005868.0,7.3,716405,Todd Phillips,"Jonah Hill, Miles Teller, Steve Lantz, Gregg Weiner"
The Revenant,2015,156,"Action, Adventure, Drama",183637894.0,8.0,677675,Tate Taylor,"Emily Blunt, Haley Bennett, Rebecca Ferguson, Justin Theroux"
Inside Out,2015,95,"Animation, Adventure, Comedy",356461711.0,8.1,585752,Roland Emmerich,"Liam Hemsworth, Jeff Goldblum, Bill Pullman, Maika Monroe"
Jurassic World,2015,124,"Action, Adventure, Sci-Fi",652270625.0,7.0,565605,David Yates,"Alexander Skarsgård, Rory J. Saper, Christian Stevens, Christoph Waltz"
Ant-Man,2015,117,"Action, Adventure, Comedy",180202163.0,7.3,548060,Rawson Marshall Thurber,"Dwayne Johnson, Kevin Hart, Danielle Nicolet, Amy Ryan"
The Hateful Eight,2015,168,"Crime, Drama, Mystery",54117416.0,7.8,492539,Tim Miller,"Ryan Reynolds, Morena Baccarin, T.J. Miller, Ed Skrein"
Spotlight,2015,129,"Biography, Crime, Drama",45055776.0,8.1,400959,"Anthony Russo, Joe Russo","Chris Evans, Robert Downey Jr., Scarlett Johansson, Sebastian Stan"
Spectre,2015,148,"Action, Adventure, Thriller",200074175.0,6.8,373503,Zack Snyder,"Ben Affleck, Henry Cavill, Amy Adams, Jesse Eisenberg"
Sicario,2015,121,"Action, Crime, Drama",46889293.0,7.6,356248,David Ayer,"Will Smith, Jared Leto, Margot Robbie, Viola Davis"
Room,2015,118,"Drama, Thriller",14677674.0,8.1,351738,Scott Derrickson,"Benedict Cumberbatch, Chiwetel Ejiofor, Rachel McAdams, Benedict Wong"
Fast & Furious 7,2015,137,"Action, Adventure, Thriller",353007020.0,7.1,351187,Denis Villeneuve,"Amy Adams, Jeremy Renner, Forest Whitaker, Michael Stuhlbarg"
The Big Short,2015,130,"Biography, Comedy, Drama",70259870.0,7.8,343674,Damien Chazelle,"Ryan Gosling, Emma Stone, Rosemarie DeWitt, J.K. Simmons"
Mission: Impossible - Rogue Nation,2015,131,"Action, Adventure, Thriller",195042377.0,7.4,331589,Mel Gibson,"Andrew Garfield, Sam Worthington, Luke Bracey, Teresa Palmer"
Fifty Shades of Grey,2015,125,"Drama, Romance, Thriller",166167230.0,4.1,291373,Bryan Singer,"James McAvoy, Michael Fassbender, Jennifer Lawrence, Nicholas Hoult"
Bridge of Spies,2015,142,"Drama, History, Thriller",72313754.0,7.6,278403,Morten Tyldum,"Jennifer Lawrence, Chris Pratt, Michael Sheen, Laurence Fishburne"
The Hunger Games: Mockingjay - Part 2,2015,137,"Action, Adventure, Sci-Fi",281723902.0,6.5,274196,Dan Trachtenberg,"John Goodman, Mary Elizabeth Winstead, John Gallagher Jr., Douglas M. Griffin"
The Man from U.N.C.L.E.,2015,116,"Action, Adventure, Comedy",45445109.0,7.3,259335,Shane Black,"Russell Crowe, Ryan Gosling, Angourie Rice, Matt Bomer"
Terminator Genisys,2015,126,"Action, Adventure, Sci-Fi",89760956.0,6.4,252862,Barry Jenkins,"Mahershala Ali, Naomie Harris, Trevante Rhodes, Alex R. Hibbert"
Creed,2015,133,"Drama, Family, Sport",109767581.0,7.6,239912,"Ron Clements, John Musker, Don Hall, Chris Williams","Auli'i Cravalho, Dwayne Johnson, Rachel House, Temuera Morrison"
Chappie,2015,120,"Action, Crime, Drama",31569268.0,6.8,224420,Jon Favreau,"Neel Sethi, Bill Murray, Ben Kingsley, Idris Elba"
Spy,2015,120,"Action, Comedy, Crime",110825712.0,7.0,224398,Gavin O'Connor,"Ben Affleck, Anna Kendrick, J.K. Simmons, Jon Bernthal"
Maze Runner: The Scorch Trials,2015,131,"Action, Adventure, Sci-Fi",81697192.0,6.3,214215,Jon M. Chu,"Jesse Eisenberg, Mark Ruffalo, Woody Harrelson, Dave Franco"
Southpaw,2015,124,"Drama, Sport",52421953.0,7.4,211384,Duncan Jones,"Travis Fimmel, Paula Patton, Ben Foster, Dominic Cooper"
Insurgent,2015,119,"Action, Adventure, Sci-Fi",130179072.0,6.2,211257,Kenneth Lonergan,"Casey Affleck, Michelle Williams, Kyle Chandler, Lucas Hedges"
Focus,2015,105,"Comedy, Crime, Drama",53862963.0,6.6,209641,"Andrew Stanton, Angus MacLane","Ellen DeGeneres, Albert Brooks, Ed O'Neill, Kaitlin Olson"
The Intern,2015,121,"Comedy, Drama",75764672.0,7.1,209464,Tom Ford,"Amy Adams, Jake Gyllenhaal, Michael Shannon, Aaron Taylor-Johnson"
The Lobster,2015,119,"Comedy, Drama, Romance",8699235.0,7.2,206778,Clint Eastwood,"Tom Hanks, Aaron Eckhart, Laura Linney, Valerie Mahaffey"
Minions,2015,91,"Animation, Adventure, Comedy",336045770.0,6.4,206154,Justin Lin,"Chris Pine, Zachary Quinto, Karl Urban, Zoe Saldana"
San Andreas,2015,114,"Action, Adventure, Drama",155190832.0,6.0,205380,James Wan,"Vera Farmiga, Patrick Wilson, Madison Wolfe, Frances O'Connor"
Everest,2015,121,"Action, Adventure, Biography",43482270.0,7.1,191404,Garth Davis,"Dev Patel, Nicole Kidman, Rooney Mara, Sunny Pawar"
